Date,Stock,News_Text,Source,news_positive,news_negative,news_neutral,news_score
2020-01-01,M&M,M&M share price rises after December tractor sales beats analyst estimates,Moneycontrol,0.8542992472648621,0.10827218741178513,0.03742852061986923,0.7460270598530769
2020-01-01,NTPC,"NTPC to procure 6 million tonnes agro residue-based pellets worth Rs 4,200 cr in 2020",Moneycontrol,0.6787692904472351,0.008105821907520294,0.31312495470046997,0.6706634685397148
2020-01-01,ONGC,ONGC gets cracking at Panna-Mukta field; cost-saving measures reap dividends,Moneycontrol,0.9342204928398132,0.020571647211909294,0.04520786553621292,0.9136488456279039
2020-01-02,BPCL,"BPCL, Air India, CONCOR divestment unlikely in FY20: Source",Moneycontrol,0.02434457466006279,0.0457138828933239,0.9299414753913879,-0.02136930823326111
2020-01-02,EICHERMOT,"Market Headstart | Key for Nifty to hold above 12,150 today; experts suggest avoid buying",Moneycontrol,0.693486213684082,0.14979831874370575,0.15671555697917938,0.5436878949403763
2020-01-02,KOTAKBANK,"In finance, only the fittest will survive: Uday Kotak",Moneycontrol,0.10553053021430969,0.01746763288974762,0.8770017623901367,0.08806289732456207
2020-01-02,ONGC,"ONGC walks away with all 7 oil, gas blocks on offer in latest bid round",Moneycontrol,0.08438625931739807,0.11374431848526001,0.8018694519996643,-0.02935805916786194
2020-01-03,BPCL,A wake-up call from a friend of India,Moneycontrol,0.08914875984191895,0.03993745520710945,0.8709137439727783,0.049211304634809494
2020-01-03,COALINDIA,Coal allocation by CIL to power sector under e-auction drops 23% in April-November,Moneycontrol,0.010194193571805954,0.9712314009666443,0.018574461340904236,-0.9610372073948383
2020-01-03,DRREDDY,Dr Reddy's gets shareholder's nod for amalgamation of Dr Reddy's Holdings into company,Moneycontrol,0.11126083135604858,0.01301281712949276,0.8757263422012329,0.09824801422655582
2020-01-03,HINDALCO,Technical Check: 10 breakout stocks that could give double-digit returns in 2020,Moneycontrol,0.6723636388778687,0.020333338528871536,0.30730298161506653,0.6520303003489971
2020-01-03,ONGC,ONGC share price gains 4% as co wins all 7 blocks,Moneycontrol,0.9158205986022949,0.02186104841530323,0.06231838837265968,0.8939595501869917
2020-01-04,ONGC,Geopolitical concerns are short-term triggers but 2020 will be far better than 2019,Moneycontrol,0.43480345606803894,0.04943929612636566,0.5157572627067566,0.3853641599416733
2020-01-06,BAJAJFINSV,How to maximise returns with FD in 2020?,Moneycontrol,0.18630605936050415,0.01023134309798479,0.8034626245498657,0.17607471626251936
2020-01-06,BPCL,Take strategic disinvestment seriously for the sake of the future,Moneycontrol,0.1482476145029068,0.0118208397179842,0.8399315476417542,0.1364267747849226
2020-01-06,JSWSTEEL,Steel: why demand is down but prices are up | Corporate corridor,Moneycontrol,0.10477819293737411,0.6588993072509766,0.23632246255874634,-0.5541211143136024
2020-01-06,ONGC,"Crude on the boil: 2 stocks to benefit, 5 names that may take a hit",Moneycontrol,0.4805489182472229,0.05245392397046089,0.4669972062110901,0.428094994276762
2020-01-06,ONGC,US–Iran tensions | Where is crude headed and how will India be affected?,Moneycontrol,0.04157615453004837,0.15850993990898132,0.7999139428138733,-0.11693378537893295
2020-01-06,TITAN,3-Point Analysis | Titan Q3 FY20 Preview,Moneycontrol,0.03370573744177818,0.03347469121217728,0.9328196048736572,0.00023104622960090637
